dataset,building,label_mode,tag,fi_type,model,feature,importance_mean,importance_std,method,manipulation,level,scenario
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,RF,AHU: Return Air Damper Control Signal,0.0014801851939409971,0.0001869858242571354,pfi_tab_metric=balanced_acc_R=2_eval=2000,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,RF,AHU: Exhaust Air Damper Control Signal    ,0.0012075570411980152,8.564232848584652e-05,pfi_tab_metric=balanced_acc_R=2_eval=2000,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,RF,AHU: Cooling Coil Valve Control Signal,0.0014833430759608746,0.00036142836324870586,pfi_tab_metric=balanced_acc_R=2_eval=2000,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,RF,AHU: Heating Coil Valve Control Signal,0.09690263122320175,1.2271106243133545e-05,pfi_tab_metric=balanced_acc_R=2_eval=2000,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,RF,Occupancy Mode Indicator,0.0023101086262613535,0.0004793863627128303,pfi_tab_metric=balanced_acc_R=2_eval=2000,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,XGBoost,AHU: Supply Air Temperature,0.23655657470226288,0.006579920649528503,pfi_tab_metric=balanced_acc_R=2_eval=2000,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,XGBoost,AHU: Supply Air Temperature Heating Set Point,0.07622875273227692,0.0009409300982952118,pfi_tab_metric=balanced_acc_R=2_eval=2000,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,XGBoost,AHU: Supply Air Temperature Cooling Set Point,0.08121785521507263,0.002189062535762787,pfi_tab_metric=balanced_acc_R=2_eval=2000,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,XGBoost,AHU: Outdoor Air Temperature,0.5601171255111694,0.00727495551109314,pfi_tab_metric=balanced_acc_R=2_eval=2000,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,XGBoost,AHU: Return Air Temperature,0.3198630213737488,0.006416067481040955,pfi_tab_metric=balanced_acc_R=2_eval=2000,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,XGBoost,AHU: Supply Air Fan Status,0.0,0.0,pfi_tab_metric=balanced_acc_R=2_eval=2000,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,XGBoost,AHU: Supply Air Fan Speed Control Signal,0.0,0.0,pfi_tab_metric=balanced_acc_R=2_eval=2000,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,XGBoost,AHU: Outdoor Air Damper Control Signal  ,0.011111065745353699,1.993682235479355e-05,pfi_tab_metric=balanced_acc_R=2_eval=2000,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,XGBoost,AHU: Return Air Damper Control Signal,0.0,0.0,pfi_tab_metric=balanced_acc_R=2_eval=2000,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,XGBoost,AHU: Exhaust Air Damper Control Signal    ,0.0,0.0,pfi_tab_metric=balanced_acc_R=2_eval=2000,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,XGBoost,AHU: Cooling Coil Valve Control Signal,0.00011391360021661967,0.00023969319590833038,pfi_tab_metric=balanced_acc_R=2_eval=2000,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,XGBoost,AHU: Heating Coil Valve Control Signal,0.14620661735534668,0.001395009458065033,pfi_tab_metric=balanced_acc_R=2_eval=2000,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,XGBoost,Occupancy Mode Indicator,0.00017819272761698812,8.564234303776175e-05,pfi_tab_metric=balanced_acc_R=2_eval=2000,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_seq,LSTM,AHU: Supply Air Temperature,-0.002226207870990038,0.0034759794361889362,pfi_seq_metric=balanced_acc_R=2_eval=512_block,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_seq,LSTM,AHU: Supply Air Temperature Heating Set Point,0.0038055055774748325,0.00017660912999417633,pfi_seq_metric=balanced_acc_R=2_eval=512_block,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_seq,LSTM,AHU: Supply Air Temperature Cooling Set Point,-0.008008204400539398,0.0003216217737644911,pfi_seq_metric=balanced_acc_R=2_eval=512_block,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_seq,LSTM,AHU: Outdoor Air Temperature,0.02002873457968235,0.0029022153466939926,pfi_seq_metric=balanced_acc_R=2_eval=512_block,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_seq,LSTM,AHU: Return Air Temperature,-0.009139581583440304,0.01036501582711935,pfi_seq_metric=balanced_acc_R=2_eval=512_block,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_seq,LSTM,AHU: Supply Air Fan Status,0.0,0.0,pfi_seq_metric=balanced_acc_R=2_eval=512_block,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_seq,LSTM,AHU: Supply Air Fan Speed Control Signal,-0.0007363770273514092,0.0007363770273514092,pfi_seq_metric=balanced_acc_R=2_eval=512_block,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_seq,LSTM,AHU: Outdoor Air Damper Control Signal  ,0.0016011621337383986,0.003604950150474906,pfi_seq_metric=balanced_acc_R=2_eval=512_block,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_seq,LSTM,AHU: Return Air Damper Control Signal,0.00041862900252453983,0.00041862900252453983,pfi_seq_metric=balanced_acc_R=2_eval=512_block,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_seq,LSTM,AHU: Exhaust Air Damper Control Signal    ,-0.0045154644176363945,0.0023416082840412855,pfi_seq_metric=balanced_acc_R=2_eval=512_block,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_seq,LSTM,AHU: Cooling Coil Valve Control Signal,-0.0013605442363768816,0.0,pfi_seq_metric=balanced_acc_R=2_eval=512_block,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_seq,LSTM,AHU: Heating Coil Valve Control Signal,0.002235549036413431,0.004297195468097925,pfi_seq_metric=balanced_acc_R=2_eval=512_block,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_seq,LSTM,Occupancy Mode Indicator,0.0017230683006346226,0.0004747339407913387,pfi_seq_metric=balanced_acc_R=2_eval=512_block,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_seq,CNN-LSTM,AHU: Supply Air Temperature,-0.008142630569636822,0.004570811055600643,pfi_seq_metric=balanced_acc_R=2_eval=512_block,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_seq,CNN-LSTM,AHU: Supply Air Temperature Heating Set Point,1.1012889444828033e-05,0.0036758906207978725,pfi_seq_metric=balanced_acc_R=2_eval=512_block,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_seq,CNN-LSTM,AHU: Supply Air Temperature Cooling Set Point,-0.006180674768984318,0.01259385235607624,pfi_seq_metric=balanced_acc_R=2_eval=512_block,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_seq,CNN-LSTM,AHU: Outdoor Air Temperature,0.03090866655111313,0.004828228615224361,pfi_seq_metric=balanced_acc_R=2_eval=512_block,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_seq,CNN-LSTM,AHU: Return Air Temperature,-0.021047810092568398,0.006112229079008102,pfi_seq_metric=balanced_acc_R=2_eval=512_block,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_seq,CNN-LSTM,AHU: Supply Air Fan Status,-0.0012755101779475808,0.0012755101779475808,pfi_seq_metric=balanced_acc_R=2_eval=512_block,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_seq,CNN-LSTM,AHU: Supply Air Fan Speed Control Signal,-0.0007363770273514092,0.0007363770273514092,pfi_seq_metric=balanced_acc_R=2_eval=512_block,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_seq,CNN-LSTM,AHU: Outdoor Air Damper Control Signal  ,-0.007717206608504057,0.008697781711816788,pfi_seq_metric=balanced_acc_R=2_eval=512_block,clean,0.0,clean
