source_dataset,building,label_mode,tag,model,manipulation,level,normalized,true_label,pred_label,value
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,HVAC Setback Error: Early Termination,Normal,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,HVAC Setback Error: Early Termination,Thermostat measurement bias,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,Lighting Setback Error: Delayed Onset,Condenser Fouling,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,Lighting Setback Error: Delayed Onset,Excessive infiltration,98.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,Lighting Setback Error: Delayed Onset,HVAC Setback Error: Delayed Onset,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,Lighting Setback Error: Delayed Onset,HVAC Setback Error: Early Termination,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,Lighting Setback Error: Delayed Onset,Lighting Setback Error: Delayed Onset,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,Lighting Setback Error: Delayed Onset,Lighting Setback Error: Early Termination,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,Lighting Setback Error: Delayed Onset,No Overnight HVAC Setback,32.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,Lighting Setback Error: Delayed Onset,No Overnight Lighting Setback,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,Lighting Setback Error: Delayed Onset,Normal,13.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,Lighting Setback Error: Delayed Onset,Thermostat measurement bias,1296.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,Lighting Setback Error: Early Termination,Condenser Fouling,47.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,Lighting Setback Error: Early Termination,Excessive infiltration,109.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,Lighting Setback Error: Early Termination,HVAC Setback Error: Delayed Onset,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,Lighting Setback Error: Early Termination,HVAC Setback Error: Early Termination,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,Lighting Setback Error: Early Termination,Lighting Setback Error: Delayed Onset,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,Lighting Setback Error: Early Termination,Lighting Setback Error: Early Termination,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,Lighting Setback Error: Early Termination,No Overnight HVAC Setback,209.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,Lighting Setback Error: Early Termination,No Overnight Lighting Setback,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,Lighting Setback Error: Early Termination,Normal,22.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,Lighting Setback Error: Early Termination,Thermostat measurement bias,1053.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,No Overnight HVAC Setback,Condenser Fouling,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,0,No Overnight HVAC Setback,Excessive infiltration,0.0
