source_dataset,building,label_mode,split_mode,corrupt_where,model,manipulation,level,accuracy,macro_precision,macro_recall,macro_f1,runtime_s,n_classes,train_rows,val_rows,test_rows,scored_rows,n_test_classes_missing_in_train,missing_test_classes_in_train
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,XGBoost,noise,0.1,0.0,0.0,0.0,0.0,0.07487630844116211,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,LSTM,noise,0.1,0.0,0.0,0.0,0.0,0.019117355346679688,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,CNN-LSTM,noise,0.1,0.0,0.0,0.0,0.0,0.012645721435546875,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,Informer,noise,0.1,0.0,0.0,0.0,0.0,0.05627322196960449,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,LinearSVM,drift,0.01,0.0,0.0,0.0,0.0,0.0005404949188232422,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,RF,drift,0.01,0.0,0.0,0.0,0.0,0.1364579200744629,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,XGBoost,drift,0.01,0.0,0.0,0.0,0.0,0.07474064826965332,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,LSTM,drift,0.01,0.0,0.0,0.0,0.0,0.019160747528076172,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,CNN-LSTM,drift,0.01,0.0,0.0,0.0,0.0,0.011306285858154297,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,Informer,drift,0.01,0.0,0.0,0.0,0.0,0.05492544174194336,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,LinearSVM,drift,0.05,0.0,0.0,0.0,0.0,0.000461578369140625,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,RF,drift,0.05,0.0,0.0,0.0,0.0,0.1369917392730713,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,XGBoost,drift,0.05,0.0,0.0,0.0,0.0,0.087493896484375,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,LSTM,drift,0.05,0.0,0.0,0.0,0.0,0.019089937210083008,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,CNN-LSTM,drift,0.05,0.0,0.0,0.0,0.0,0.011606693267822266,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,Informer,drift,0.05,0.0,0.0,0.0,0.0,0.054915428161621094,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,LinearSVM,drift,0.1,0.0,0.0,0.0,0.0,0.0004093647003173828,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,RF,drift,0.1,0.0,0.0,0.0,0.0,0.1381359100341797,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
