source_dataset,building,label_mode,manipulation,level,corrupt_where,split_mode,model,accuracy,macro_precision,macro_recall,macro_f1,runtime_s
LBNL_DataFDD,RTU,raw,clean,0.0,test,stratified_time,LinearSVM,0.3531844499586435,0.33792074083011625,0.33308932358733523,0.293581367735071,0.0007615089416503906
LBNL_DataFDD,RTU,raw,clean,0.0,test,stratified_time,RF,0.3880893300248139,0.4143089262481726,0.3206859256383713,0.31006185993449575,0.14833760261535645
LBNL_DataFDD,RTU,raw,clean,0.0,test,stratified_time,XGBoost,0.35963606286186933,0.4064203162604141,0.2727686551069703,0.26610921070498805,0.13371682167053223
LBNL_DataFDD,RTU,raw,clean,0.0,test,stratified_time,LSTM,0.4110337972166998,0.4438237565466606,0.34658705359280373,0.33890348732165004,0.026067733764648438
LBNL_DataFDD,RTU,raw,clean,0.0,test,stratified_time,CNN-LSTM,0.39165009940357853,0.4198151750050596,0.33051790553433946,0.32637636900223865,0.016052722930908203
LBNL_DataFDD,RTU,raw,clean,0.0,test,stratified_time,Informer,0.3558648111332008,0.4123465506134859,0.33957933002783547,0.30739930330854115,0.07663965225219727
LBNL_DataFDD,RTU,raw,noise,0.01,test,stratified_time,LinearSVM,0.3553349875930521,0.34043854976066223,0.3360174226548166,0.2944066896778813,0.0007026195526123047
LBNL_DataFDD,RTU,raw,noise,0.01,test,stratified_time,RF,0.4052936311000827,0.40556591862063945,0.31943952726017943,0.3105961731537953,0.1483609676361084
LBNL_DataFDD,RTU,raw,noise,0.01,test,stratified_time,XGBoost,0.398014888337469,0.3842805687510954,0.29072172619047615,0.29036916258533924,0.13167881965637207
LBNL_DataFDD,RTU,raw,noise,0.01,test,stratified_time,LSTM,0.4110337972166998,0.44395506533814233,0.3462894345451847,0.33844545270024184,0.02662801742553711
LBNL_DataFDD,RTU,raw,noise,0.01,test,stratified_time,CNN-LSTM,0.3929754804506296,0.42023924086455305,0.3313620652996949,0.3269353620559742,0.01582193374633789
LBNL_DataFDD,RTU,raw,noise,0.01,test,stratified_time,Informer,0.35470510271703115,0.41245977929185473,0.33842635815067884,0.3065375274489445,0.07648611068725586
LBNL_DataFDD,RTU,raw,noise,0.05,test,stratified_time,LinearSVM,0.341439205955335,0.32906542835803876,0.3254056671758488,0.287906538389301,0.0007665157318115234
LBNL_DataFDD,RTU,raw,noise,0.05,test,stratified_time,RF,0.39272125723738627,0.3564232270840383,0.30375858350586615,0.2874754003474053,0.15075087547302246
LBNL_DataFDD,RTU,raw,noise,0.05,test,stratified_time,XGBoost,0.3445822994210091,0.25416434330593873,0.2564897989993099,0.2271538018493914,0.1381218433380127
LBNL_DataFDD,RTU,raw,noise,0.05,test,stratified_time,LSTM,0.40987408880053017,0.4436740474856967,0.3439831888585042,0.3356549458200261,0.02658843994140625
LBNL_DataFDD,RTU,raw,noise,0.05,test,stratified_time,CNN-LSTM,0.39314115308151093,0.4343303969525694,0.3323583579489568,0.3265507622235383,0.016774415969848633
LBNL_DataFDD,RTU,raw,noise,0.05,test,stratified_time,Informer,0.35371106693174287,0.41275020841475596,0.33746271943432266,0.3010368677305809,0.07631468772888184
LBNL_DataFDD,RTU,raw,noise,0.1,test,stratified_time,LinearSVM,0.32555831265508683,0.3251831934398729,0.32258523224595603,0.28896096992397957,0.0006589889526367188
